trans_id,lang,translation
"Eteläranta  - Viiskulma",fi,"Eteläranta  - Viiskulma"
"Kauklahti - Masala - Kirkkonummi",fi,"Kauklahti - Masala - Kirkkonummi"
"Pasila",fi,"Pasila"
"Koivu-Mankkaan tie",fi,"Koivu-Mankkaan tie"
"Kamppi- Latokaski",fi,"Kamppi- Latokaski"
"Rautatientori - Nikkilä - Paippinen - Järvenpää",fi,"Rautatientori - Nikkilä - Paippinen - Järvenpää"
"Maamonlahdentie",fi,"Maamonlahdentie"
"Ruukinranta",sv,"Brukstranden"
"Lehmuslehdontie",sv,"Lehmuslehdontie"
"Karaniityntie",fi,"Karaniityntie"
"Kamppi-Hyrylä-Järvenpää-Jamppa-Kellokoski",sv,"Kampen-Hyrylä-Järvenpää-Jamppa-Kellokoski"
"Piispanristi",fi,"Piispanristi"
"Yliskallio",fi,"Yliskallio"
"Jousimiehentie 10",fi,"Jousimiehentie 10"
"Nevatie",sv,"Nevavägen"
"Painiityntie",sv,"Pajvägen"
"Merikotkantie",sv,"Havsörnsvägen"
"Kellokoski-Järvenpää",sv,"Kellokoski-Järvenpää"
"Ohdaketie",fi,"Ohdaketie"
"Neulastie",sv,"Barrvägen"
"Kaskilaaksontie",sv,"Svedjedalsvägen"
"Angervotie 12",sv,"Spireavägen 12"
"Professorintie",fi,"Professorintie"
"Vesilinnuntie",sv,"Sjöfågelvägen"
"Vanha Jorvaksentie",fi,"Vanha Jorvaksentie"
"Martinlaakson term.",sv,"Mårtensdals term."
"Isonnevankuja",fi,"Isonnevankuja"
"Ylä-Mankkaa",fi,"Ylä-Mankkaa"
"Rautat-Kerava",sv,"Järnv-Kervo"
"Ylä-Fallin tie 30",sv,"Övre Fallsvägen 30"
"Siilitie(M)-Latokart",sv,"Igelkotts(M)-Ladugår"
"Alppikatu 9",fi,"Alppikatu 9"
"Hattulantie",fi,"Hattulantie"
"Hotelli Matinlahti",fi,"Hotelli Matinlahti"
"Alaniityntie",fi,"Alaniityntie"
"Nikkilän la-as.",fi,"Nikkilän la-as."
"Königstedt",sv,"Königstedt"
"Hiekkalaiturintie 3",sv,"Sandkajsvägen 3"
"Hepomurto",sv,"Hepmort"
"Solisevantie",fi,"Solisevantie"
"Tiistilä",sv,"Distby"
"Haukkalampi",fi,"Haukkalampi"
"Hernetie",fi,"Hernetie"
"Haapajärvi",fi,"Haapajärvi"
"Evitskogintie",fi,"Evitskogintie"
"Martinniitty",sv,"Mårtensängen"
"Mehuasema",sv,"Musteriet"
"Punahilkantie 2",fi,"Punahilkantie 2"
"Leppävaara, lait. 15",fi,"Leppävaara, lait. 15"
"Pitäjänmäen Kirjasto",fi,"Pitäjänmäen Kirjasto"
"Torkkelinkuja",sv,"Torkelsgränd"
"Roihuvuoren ala-aste",sv,"Roihuvuoren ala-aste"
"Bondarbyntie",sv,"Bondarbyvägen"
"Porthaninrinne",sv,"Porthansbrinken"
"Kitö-Söderkulla",sv,"Kitö-Söderkulla"
"Espoon asema, l 32",sv,"Esbo station, pf.32"
