trans_id,lang,translation
"Malminkaari 4",fi,"Malminkaari 4"
"Kamppi-Palojoki",fi,"Kamppi-Palojoki"
"Malmi-Maunula-Munkkiniemi-Otaniemi",fi,"Malmi-Maunula-Munkkiniemi-Otaniemi"
"Jokimäki-Pornainen-Järvenpää",fi,"Jokimäki-Pornainen-Järvenpää"
"Kuunaritie",fi,"Kuunaritie"
"Rautakorpi",fi,"Rautakorpi"
"Reposalmentien silta",fi,"Reposalmentien silta"
"Kustaantien päiväk.",fi,"Kustaantien päiväk."
"Juhana Herttuan tie",sv,"Hertig Johans väg"
"Haapaniementie",sv,"Aspnäsvägen"
"Malminkartanon asema",fi,"Malminkartanon asema"
"Aalto-yliopisto",fi,"Aalto-yliopisto"
"Toppelund",fi,"Toppelund"
"Sjökulla",fi,"Sjökulla"
"Riitantie",sv,"Ritavägen"
"Loimitie",sv,"Varpvägen"
"Kaskiniityntie",sv,"Svedjeängsvägen"
"Hietaniemi / 55A, 55AK",fi,"Hietaniemi / 55A, 55AK"
"Taavinharju",fi,"Taavinharju"
"Virpitie",fi,"Virpitie"
"Tuijantie",sv,"Tuijantie"
"Sorsakorpi-Kerava-Vallinoja-Rautatientori",fi,"Sorsakorpi-Kerava-Vallinoja-Rautatientori"
"Väinölänkatu 5",fi,"Väinölänkatu 5"
"Åbyntie",fi,"Åbyntie"
"Kaskiniityntie",fi,"Kaskiniityntie"
"Tervasaarenkannas",fi,"Tervasaarenkannas"
"Kaisaniementie 6",fi,"Kaisaniementie 6"
"Leppävaara-Jupperi-Lähderanta",fi,"Leppävaara-Jupperi-Lähderanta"
"Kulosaari (M)-Korkeasaari",sv,"Brändö (M)-Högholmen"
"Viinikankaari",sv,"Viniksvängen"
"Helkamäentie",sv,"Helkamäentie"
"Äimäkuja",fi,"Äimäkuja"
"Kylähallinaukio",sv,"Byhallsplanen"
"Punavuorenkatu 6",sv,"Rödbergsgatan 6"
"Hernesaari - Kamppi",fi,"Hernesaari - Kamppi"
"Hgin kuvataidekoulu",sv,"Hfors bildkonstskola"
"Rekolantie",sv,"Räckhalsvägen"
"Jauhotullintie",fi,"Jauhotullintie"
"Ristikkokatu",sv,"Gallergatan"
"Tarvonsalmenkatu 17",fi,"Tarvonsalmenkatu 17"
"Ek.-Röylä",fi,"Ek.-Röylä"
"Nikkilä-Etelä-Paippinen-Järvenpää",sv,"Nickby-Södra Paipis-Träskända"
"Mesimäki",fi,"Mesimäki"
"Laaksotie",fi,"Laaksotie"
"Kolsintie",sv,"Kolsivägen"
"Ulappatori",sv,"Fjärdtorget"
"Vanamontie",sv,"Linneavägen"
"Liesikuja",fi,"Liesikuja"
"Sorsavuorenkatu 13",sv,"Andbergsgatan 13"
"Mellunmäki-Länsimäki-Rajakylä",fi,"Mellunmäki-Länsimäki-Rajakylä"
"Kirurgi-Ooppera",sv,"Kirurgen-Operan"
"Virkamies",fi,"Virkamies"
"Bocksintie",fi,"Bocksintie"
"Itäk-Myllyp",sv,"Ö.centr-Kvarnb"
"Porvoo, linja-autoas. lait. 8",fi,"Porvoo, linja-autoas. lait. 8"
"Keinulaudantie",sv,"Gungbrädsvägen"
"Ruonasalmentie 2",fi,"Ruonasalmentie 2"
"Ainontien",fi,"Ainontien"
"Latokartanontie",fi,"Latokartanontie"
"Raudikkopolku",fi,"Raudikkopolku"
"Haikaratie",sv,"Storkvägen"
"Porttikuja 14",fi,"Porttikuja 14"
"Elielinaukio - Leppävaara - Lähderanta - Jupperi",sv,"Elielplatsen - Alberga - Källstrand - Jupper"
"Munkkivuori-Kaskisaari",fi,"Munkkivuori-Kaskisaari"
"Kivistö-Vestra",sv,"Kivistö-Västra"
"Kalasataman terveyskeskus",sv,"Fiskehamnens hälsocentral"
"Fallintori",sv,"Fallstorget"
"Hagalundinsilta",sv,"Hagalundsbron"
"Arkadiankatu 23",fi,"Arkadiankatu 23"
"Olarinluoma",fi,"Olarinluoma"
"Kunnantie 1",sv,"Kommunalvägen 1"
"Rautatientori-Torpparinmäki",fi,"Rautatientori-Torpparinmäki"
"Iso Roobertinkatu",sv,"Stora Robertsgatan"
"Minkkitie",fi,"Minkkitie"
"Perämiehenkatu",fi,"Perämiehenkatu"
"Rusojuurentie",fi,"Rusojuurentie"
"Perkkaantie 16",fi,"Perkkaantie 16"
"Vuosaari (M), lait. 11",sv,"Nordsjö (M), pf. 11"
"Myllypuro(M) - Viikki - Kumpula - Pasila - Meilahti",fi,"Myllypuro(M) - Viikki - Kumpula - Pasila - Meilahti"
"Kamppi-Myyrmäki",sv,"Kampen-Myrbacka"
"Vuosaari, telakka",sv,"Nordsjö, varvet"
"Lystimäentie 14",sv,"Lustikullavägen 14"
"Aleksis Kiven tie",sv,"Aleksis Kiven tie"
"Eriksnäs - Söderkulla - Massby - Hindsby - Nikkilä",sv,"Eriksnäs - Söderkulla - Massby - Hindsby - Nickby"
"Hakaniemi-Aviapolis-Kylmäoja",sv,"Hagnäs-Aviapolis-Kallbäcken"
"Puistolan asema",sv,"Parkstad station"
"Kamppi - Niittykumpu (M)- Espoon keskus - Suvela - Tuomarila",fi,"Kamppi - Niittykumpu (M)- Espoon keskus - Suvela - Tuomarila"
"Kantokaski",fi,"Kantokaski"
"Myyrmäki l.10 tulo",fi,"Myyrmäki l.10 tulo"
"Junatie",sv,"Tågvägen"
"Kivijatatie",sv,"Stensträngsvägen"
"Wärtsilä",sv,"Wärtsilä"
"Arkadiankatu 15",fi,"Arkadiankatu 15"
"Solgårdintie",fi,"Solgårdintie"
"Rannikkotie",sv,"Kustvägen"
"Kelohongantie",sv,"Torrfurstieen"
"Käenkuja",fi,"Käenkuja"
"Kalmari",sv,"Kalmar"
"Keimolanmäentie",fi,"Keimolanmäentie"
"Pukinmäen aukio 1",sv,"Bocksbackaplanen 1"
"Juurakkokuja",fi,"Juurakkokuja"
"Tiensuu",sv,"Tiensuu"
"Hakaniemi - Lentoasema",sv,"Hagnäs - Flygplatsen"
"Koskenhaantie",fi,"Koskenhaantie"
"Korson sos.terv.as.",fi,"Korson sos.terv.as."
"Päivöläntie 31",fi,"Päivöläntie 31"
"Punjonsuo",fi,"Punjonsuo"
"Meilahden yläaste",sv,"Mejlans högstadium"
"Mäkelänkatu 6",sv,"Backasgatan 6"
"Kiskontie",fi,"Kiskontie"
"Pastori Jussilainen",sv,"Pastor Jussilainen"
"Lautmäenkuja",sv,"Lautmäkigränden"
"Kulomäen koulu",sv,"Kulomäen koulu"
"Olarinluoma",sv,"Olarsbäcken"
"Erottaja-Hietaniemi",fi,"Erottaja-Hietaniemi"
"Elielinaukio, l. 23",sv,"Elielplatsen, pf. 23"
"Papinpöydänkuja",fi,"Papinpöydänkuja"
"Pyrytie",fi,"Pyrytie"
"Nyytorpinpolku",fi,"Nyytorpinpolku"
"Torpparinmäki",sv,"Torparbacken"
"Röylä",sv,"Rödskog"
"Etel. ostoskeskus",sv,"Södra köpcentrum"
"Lahnuksenmäki",sv,"Lahnusbacken"
"Tietäjä",sv,"Siaren"
"Lindalintie 18",sv,"Lindalsvägen 18"
"Kolistimenmäki",sv,"Kolistimenmäki"
"Lahelanterttu",sv,"Lahelanterttu"
"Kaivokatu 1",fi,"Kaivokatu 1"
"Kuurinmäentie",sv,"Kurbacksvägen"
"Kamppi-Maantiekylä-Hyrylä",fi,"Kamppi-Maantiekylä-Hyrylä"
"Käpyrinne palv.talo",fi,"Käpyrinne palv.talo"
"Hanabäck",fi,"Hanabäck"
"Pajuniityntie 3",fi,"Pajuniityntie 3"
"Kamppi-Hyrylä-Nahkela-Palojoki",fi,"Kamppi-Hyrylä-Nahkela-Palojoki"
"Kirurgi-P.Huopal.",sv,"Kirurgen-Lillhoplax"
"Kalasataman terveyskeskus",fi,"Kalasataman terveyskeskus"
"Urheilutalo - Eira - Olympiaterminaali",sv,"Idrottshuset - Eira - Olympiaterminalen"
"Elielinaukio, lait.31",sv,"Elielplatsen, pf. 31"
"Kuusikon koulu",fi,"Kuusikon koulu"
"Liuskekuja",sv,"Skiffergränden"
"Brudbrinken",sv,"Brudbrinken"
"Ratsastie 10",sv,"Ridvägen 10"
"Junailijankuja 1",sv,"Konduktörsgränden 1"
"Matinkylä - Vuosaari",sv,"Mattby - Nordsjö"
"Kirkkonummi-Pikkala th.(-Inkoo)",sv,"Kyrkslätt-Pickala vägskäl (-Inkoo)"
"Pikkulinnunreitti",fi,"Pikkulinnunreitti"
"Jousirinne 1",sv,"Bågbrinken 1"
"Rantakiventie 36",sv,"Strandstensvägen 36"
"Antreantie",sv,"S:t Andreevägen"
"Tikkurila - Tuupakka - Martinlaakso",sv,"Dickursby - Stubbacka - Mårtensdal"
".",fi,"."
"Krenatöörintie",sv,"Grenadjärsvägen"
"Kehä III ramppi",fi,"Kehä III ramppi"
"Rekolantie",fi,"Rekolantie"
"Tapiola - Mankkaa",fi,"Tapiola - Mankkaa"
"Kannelmäki (Pelimannintie)",sv,"Gamlas (Spelmansvägen)"
"Haapapurontie",sv,"Haapapurovägen"
"Anttila",sv,"Anttila"
"Vestranrinne",sv,"Västrabrinken"
"Korkeavuorenkatu 6",fi,"Korkeavuorenkatu 6"
"Isokaari 22",fi,"Isokaari 22"
"Santahamina",fi,"Santahamina"
"Fallåker",sv,"Fallåker"
"Lepolan koulu",sv,"Lepolan koulu"
"R-tori.- Suutarila",fi,"R-tori.- Suutarila"
"Myllypuro(M)-Viikki-Kumpula-Pasila-Meilahti",fi,"Myllypuro(M)-Viikki-Kumpula-Pasila-Meilahti"
"Bastukärr-Keravan as.-Mattilanpuisto",sv,"Bastukärr-Kervo st.-Mattilanpuisto"
"Karstulantie 6",sv,"Karstulavägen 6"
"Hakunila-Malmi-Maunula-Leppävaara",sv,"Håkansböle-Malm-Månsas-Alberga"
"Rtori11-Jollas",sv,"Jvtorg11-Jollas"
"Viikin normaalikoulu",fi,"Viikin normaalikoulu"
"Myyrmäen asema, lait. 15",sv,"Myrbacka station, pf. 15"
"Karjatanhuanpolku",sv,"Fästigen"
"Tasankopolku",fi,"Tasankopolku"
"Osmontie",sv,"Osmovägen"
"Koirasaarentie",fi,"Koirasaarentie"
"Riiantie",fi,"Riiantie"
"Lautmäenkuja",fi,"Lautmäenkuja"
"Bastnäsintie",fi,"Bastnäsintie"
"Yläniityntie",sv,"Överängsvägen"
"Kivistö - Katriinan sairaala - Tapola - Riipilä",fi,"Kivistö - Katriinan sairaala - Tapola - Riipilä"
"Solbackantie",fi,"Solbackantie"
"Hepopolku",fi,"Hepopolku"
"Kylänvanhimmantie",sv,"Byäldstevägen"
"Landbonpolku",sv,"Landbostigen"
"Sepetlahdentie",sv,"Sepetviksvägen"
"Kalliosolantie",sv,"Bergpassvägen"
"Laivurinkatu",sv,"Skeppargatan"
"Mechelininkatu 26",sv,"Mechelingatan 26"
"Särkiniementie 23",sv,"Mörtnäsvägen 23"
"Metsäpolku",sv,"Skogsstigen"
"Länsiterminaali - Kruununhaka - Sörnäinen (M) - Länsi-Pasila",fi,"Länsiterminaali - Kruununhaka - Sörnäinen (M) - Länsi-Pasila"
"Hevoshaanpolku",fi,"Hevoshaanpolku"
"Hki - It.Jokip",fi,"Hki - It.Jokip"
"Tammistonranta",sv,"Tammistostranden"
"Saksantie",sv,"Saksantie"
"Vernerintie",fi,"Vernerintie"
"Kamppi-Hyrylä-Nahkela-Palojoki",sv,"Kampen-Hyrylä-Nahkela-Palojoki"
"Rautatientori-Kuninkaanmäki-Nikkilä",sv,"Järnvägstorget-Kungsbacka-Nickby"
"Elielinaukio - Pitäjänmäki - Uusmäki",fi,"Elielinaukio - Pitäjänmäki - Uusmäki"
"Lähdeaukio",fi,"Lähdeaukio"
"Laulurastaanpolku",fi,"Laulurastaanpolku"
"Kuusijärvi",fi,"Kuusijärvi"
"Lauri Mikonpojan tie",sv,"Lars Mickelssons väg"
"Mankin urheilukenttä",sv,"Mankby idrottsplan"
"Salonkitie",sv,"Salongsvägen"
"Erottaja-Hietaniemi",sv,"Skillnaden-Sandudd"
"Sotunki",fi,"Sotunki"
"Otahalli",fi,"Otahalli"
"Rautatientori, l. 3",sv,"Järnvägstorget pf. 3"
"Rautatientori - Kulosaari (M) - Korkeasaari Zoo(Mustikkamaa)",fi,"Rautatientori - Kulosaari (M) - Korkeasaari Zoo(Mustikkamaa)"
"Mustanniemenkuja",fi,"Mustanniemenkuja"
"Reinintie",fi,"Reinintie"
"Kisatie 21",fi,"Kisatie 21"
"Kauniaisten asema",fi,"Kauniaisten asema"
"Sateenkaari",sv,"Regnbågen"
"Puuvalonaukio",sv,"Puuvalonaukio"
"Leppävaara - Karakallio - Viherlaakso",fi,"Leppävaara - Karakallio - Viherlaakso"
"Suutarilantie",fi,"Suutarilantie"
"Myllypuron kirkko",sv,"Kvarnbäckens kyrka"
"Tuomala",sv,"Tuomala"
"Lapinlahdenkatu 19",sv,"Lappviksgatan 19"
"Hietalahti - Rautatieasema - Sörnäinen (M) - Vallila",sv,"Sandviken - Järnvägsstationen - Sörnäs (M) - Vallgård"
"Kamppi, laituri 59",fi,"Kamppi, laituri 59"
"Ml-Hki",sv,"Malm-Hfors"
"Edita",fi,"Edita"
"Asentajankatu",sv,"Montörsgatan"
"Rinnetie",sv,"Brantvägen"
"Ingelsintie",sv,"Ingelsvägen"
"Siilikuja 1",fi,"Siilikuja 1"
"Kanneltie 16",fi,"Kanneltie 16"
"G-juna",sv,"G-tåget"
"Eira - Töölö - Sörnäinen (M)",fi,"Eira - Töölö - Sörnäinen (M)"
"Sormuspolku",fi,"Sormuspolku"
"Lukupuronpuisto",sv,"Lukubäcksparken"
"Niittylammentie",sv,"Ängvikträskvägen"
"Ohjaajantie 13",sv,"Regissörsvägen 13"
"Masalan asema",fi,"Masalan asema"
"Kruunuvuorenkatu 7",sv,"Kronbergsgatan 7"
"Porthaninrinne 2",fi,"Porthaninrinne 2"
"Tiistilä - Matinkylä (M) - Olari /- Espoon keskus - Jorvi",sv,"Distby - Mattby (M) - Olars /- Esbo centrum - Jorv"
"Sörnäinen (M) - Messukeskus",fi,"Sörnäinen (M) - Messukeskus"
"Sperrings sund",fi,"Sperrings sund"
"Vuorimies",sv,"Bergsmannen"
"Epinkoskentie",sv,"Ebbforsvägen"
"Tahkotie 7",sv,"Slipstensvägen 7"
"Mellunmäki, lait.14",sv,"Mellungsbacka, pf.14"
"Malminkartanontie",fi,"Malminkartanontie"
"Urkupillintie",fi,"Urkupillintie"
"Palopirtintie",fi,"Palopirtintie"
"Helsingintie",fi,"Helsingintie"
"Pattistenpelto",sv,"Battisåkern"
"Pohjoinen Rautatieka",fi,"Pohjoinen Rautatieka"
"Kaakkoisväylä",fi,"Kaakkoisväylä"
"Maljatie",sv,"Skålvägen"
"Tonttupolku",sv,"Tomtestigen"
"Lapinlahdenkatu 16",fi,"Lapinlahdenkatu 16"
"Mäkelänkatu 60",fi,"Mäkelänkatu 60"
"Melkonkatu 25",sv,"Melkögatan 25"
"Keijukaistenpolku",fi,"Keijukaistenpolku"
"Tuomala",fi,"Tuomala"
"Palosaarentie",sv,"Brändholmsvägen"
"Salpausseläntie 8",sv,"Salpausselkävägen 8"
"Laivalahdenportti",fi,"Laivalahdenportti"
"Tapiola-Espoonlahti",sv,"Hagalund-Esboviken"
"Vuorenteko",sv,"Vuorenteko"
"Arielinkatu 2",sv,"Arielsgatan 2"
"Elielinaukio - Jupperi - Vanhakartano / Niipperi",fi,"Elielinaukio - Jupperi - Vanhakartano / Niipperi"
"Teuvo Pakkalan tie",fi,"Teuvo Pakkalan tie"
"Lainlukijantie",fi,"Lainlukijantie"
"Puotinkylän kartano",fi,"Puotinkylän kartano"
"Hiirakkotie 9",sv,"Musblacksvägen 9"
"Katajanokan terminaali",sv,"Skatuddens terminal"
"Leppävaara-Siikaniem",fi,"Leppävaara-Siikaniem"
"Inkoo",fi,"Inkoo"
"Kehä III",sv,"Ring III"
"Turuntie 12",fi,"Turuntie 12"
"Kivistö-Vestra",fi,"Kivistö-Vestra"
"Iso Roobertinkatu",fi,"Iso Roobertinkatu"
"Lahdenväylä ramppi",fi,"Lahdenväylä ramppi"
"Koskelonkuja",sv,"Skrakabygränden"
"Yläkartanontie",fi,"Yläkartanontie"
"Tuusula Sampo-kyyti",sv,"Tuusula Sampo-kyyti"
"Rautatientori, lait. 6",sv,"Järnvägstorget, pf. 6"
"Monninkylä",fi,"Monninkylä"
"Neitsytpolku",fi,"Neitsytpolku"
"Katriinantie",fi,"Katriinantie"
"Kallaskuja",fi,"Kallaskuja"
"Eteläranta-Viiskulma",sv,"Södra kajen-Femkante"
"Liisankatu 8",fi,"Liisankatu 8"
"Läksyrinne 27",sv,"Läxbrinken 27"
"Siilitien metroasema",sv,"Igelkottsvägens metrostation"
"Tikkurila - Korso - Mikkola",fi,"Tikkurila - Korso - Mikkola"
"Överbyntie 466",sv,"Överbyvägen 466"
"Karhusuontie 57",sv,"Björnkärrsvägen 57"
"Hirvitie 37",sv,"Älgvägen 37"
"Rannikonmäki-Hyrylä",fi,"Rannikonmäki-Hyrylä"
"Metsäläntie",sv,"Krämertsskogsvägen"
"Sunan koulu",sv,"Sunan koulu"
"Ingman",sv,"Ingman"
"Aleksis Kiven k. 11",sv,"Aleksis Kivis g. 11"
"Keinulaudantie",fi,"Keinulaudantie"
"Sarpapolku",fi,"Sarpapolku"
"Veini",fi,"Veini"
"Inva",fi,"Inva"
"Tikkurila-Vierumäki",sv,"Dickursby-Vierumäki"
"Vanhankylän koulu",fi,"Vanhankylän koulu"
"Sofianlehdonkatu",fi,"Sofianlehdonkatu"
"Marjatantie",fi,"Marjatantie"
"Rakuunantie",fi,"Rakuunantie"
"Agronominkatu",fi,"Agronominkatu"
"Naalipolku",fi,"Naalipolku"
"Niittykummuntie 3",fi,"Niittykummuntie 3"
"Arentikuja 3",sv,"Arrendegränden 3"
"Tikkurila-Ilola-Leinelä-Koivukylä-Havukoski-Päiväkumpu",fi,"Tikkurila-Ilola-Leinelä-Koivukylä-Havukoski-Päiväkumpu"
"Maamiehentie",fi,"Maamiehentie"
"Tillinmäki",fi,"Tillinmäki"
"Kylmäoja",fi,"Kylmäoja"
"Kirkkonummi-Veikkola",sv,"Kyrkslätt-Veikkola"
"Lentoasema, T1 lait. 12",fi,"Lentoasema, T1 lait. 12"
"Minkkipolku",sv,"Minkstigen"
"Katajanokka-R.asema",fi,"Katajanokka-R.asema"
"Terveyskuja",fi,"Terveyskuja"
"Fågelnäs",sv,"Fågelnäs"
"Teollisuuskatu 25",fi,"Teollisuuskatu 25"
"Rautatientori, lait. 5",sv,"Järnvägstorget, pf. 5"
"Huntupolku",sv,"Slöjstigen"
"Storäng",sv,"Storäng"
"Lääkärinkatu 6",fi,"Lääkärinkatu 6"
"Koivusaaren metroasema",sv,"Björkholmens metrostation"
"Kivelän sairaala",fi,"Kivelän sairaala"
"Väylänsuu",fi,"Väylänsuu"
"Tikkurila-Simonsilta",fi,"Tikkurila-Simonsilta"
"Itäkeskus (M) - Malmi - Tapaninkylä",fi,"Itäkeskus (M) - Malmi - Tapaninkylä"
"Arttelikuja",fi,"Arttelikuja"
"Punjonsuo",sv,"Punjomossen"
"Linnanrakentajant. 1",fi,"Linnanrakentajant. 1"
"Hevossalmentie 21",fi,"Hevossalmentie 21"
"Nurkkatie",sv,"Hörnvägen"
"Koivikko",fi,"Koivikko"
"Odd Fellows",fi,"Odd Fellows"
"Martinlaakson asema, lait. 13",sv,"Mårtensdals station, pf. 13"
"Vanha Turun maantie",sv,"Gamla Åbo landsvägen"
"Kauppakartanonkatu",sv,"Handelshusgatan"
"Rannikonmäki-Rusutjärvi-Ristikivi-Hyrylä",sv,"Rannikonmäki-Rusutjärvi-Ristikivi-Hyrylä"
"Vanha Turun Maantie",sv,"Gamla Åbo Landsväg"
"Sinirinta",sv,"Blåhaken"
"Siilireitti",sv,"Igelkottsrutten"
"Kamppi - Töölö - Sil",fi,"Kamppi - Töölö - Sil"
"Rautatientori-Malmi-Puistolan asema-Ala-Tikkurila",sv,"Järnvägstorget-Malm-Parkstad station-Nedre Dickursby"
"Nyytorpinpolku",sv,"Nytorpstigen"
"Länsi-Hkin lukio",sv,"Gymnasiet V-Hfors"
"Niittyportti 4",fi,"Niittyportti 4"
"Ilomäentie",sv,"Ilomäkivägen"
"Vallila-Länsiterm.",fi,"Vallila-Länsiterm."
"Näkinkylänportti",sv,"Snäckporten"
"Vantaanreitti",sv,"Vandaleden"
"Månvik",sv,"Månvik"
"Eino Leinon katu 10",fi,"Eino Leinon katu 10"
"Mechelininkatu 39",sv,"Mechelingatan 39"
"Kirurgi",fi,"Kirurgi"
"Kaupunginpuutarha",sv,"Stadsträdgården"
"Hauklammentie",sv,"Hauklampivägen"
"Rautatientori, lait. 3",sv,"Järnvägstorget, pf. 3"
"Vantaankosken asema",fi,"Vantaankosken asema"
"Pääskylahdentie",sv,"Svalviksvägen"
"Leppäsilta",sv,"Albro"
"Vapaalantie",sv,"Friherrsvägen"
"Kyllästämöntie",sv,"Kyllästämövägen"
"Rautatientori-Aviapolis-Hyrylä",fi,"Rautatientori-Aviapolis-Hyrylä"
"LVM",fi,"LVM"
"Alatalontie",sv,"Alatalontie"
"Kaivokatu 4",fi,"Kaivokatu 4"
"Telamäentie 10",sv,"Kavelbackavägen 10"
"Upinniemenkuja",sv,"Obbnäsvägen"
"Tikkurila - Hiekkaharju - Simonsilta",fi,"Tikkurila - Hiekkaharju - Simonsilta"
"Kamppiaistie",fi,"Kamppiaistie"
"Parolantie",fi,"Parolantie"
"Maratontie",sv,"Maratonvägen"
"Isokaari 42",sv,"Storsvängen 42"
"Hakunila - Malmi - Maunula - Leppävaara",sv,"Håkansböle - Malm - Månsas - Alberga"
"Santaradantie",sv,"Sandbanan"
"Pihkaniityntie",sv,"Pihkaniityntie"
"Raappavuorentie 10",sv,"Skrapbergsvägen 10"
"Iiluodonkuja",sv,"Iglogränden"
"Merjankuja",sv,"Merjagränden"
"Saunalahdenkatu",fi,"Saunalahdenkatu"
"Pasila-Hattulantie",sv,"Böle-Hattulavägen"
"Ruoholahden metroasema",fi,"Ruoholahden metroasema"
"Brahenkatu",sv,"Brahegatan"
"Järvenperänsilta",sv,"Träskändabron"
"Norrtäljentie 1",sv,"Norrtäljevägen 1"
"Kalastajamäki",sv,"Fiskarbacken"
"Liljakuja",sv,"Liljegränden"
"Edelsintie",fi,"Edelsintie"
"Asema-aukio",sv,"Stationsplatsen"
"Mäkelänkatu 99",fi,"Mäkelänkatu 99"
"Kalasatama(M)-Käpylä-Kannelmäki",sv,"Fiskehamnen(M)-Kottby-Gamlas"
"P-Haagan yhteiskoulu",fi,"P-Haagan yhteiskoulu"
"Tapiola-Leppävaara",sv,"Hagalund-Alberga"
"Laajakorvenmäki",sv,"Bredkärrsbacken"
"Väärämäki",sv,"Väärämäki"
"Fleminginkatu 27",fi,"Fleminginkatu 27"
"Keravan asema",fi,"Keravan asema"
"Ruskela",fi,"Ruskela"
"Fågelvik",fi,"Fågelvik"
"Kamppi, laituri 53",sv,"Kampen, plattform 53"
"Satukallion puisto",sv,"Satukallion puisto"
"Vanha Turun maantie",fi,"Vanha Turun maantie"
"Ränkitie",fi,"Ränkitie"
"Länsisalmi",fi,"Länsisalmi"
"Karamalmi",sv,"Karamalmen"
"Heinäkorventie",sv,"Hökärrsvägen"
"Vanha Turun Maantie",fi,"Vanha Turun Maantie"
"Elielinaukio-Kannelmäki-Hakuninmaa",fi,"Elielinaukio-Kannelmäki-Hakuninmaa"
"Pääskylahdentie",fi,"Pääskylahdentie"
"Hotelli Korpilampi",sv,"Hotell Korpilampi"
"Erottajankatu 11",fi,"Erottajankatu 11"
"Vauhtitie",sv,"Fartvägen"
"Savikiekontie",fi,"Savikiekontie"
"Kaskenkaataja",fi,"Kaskenkaataja"
"Kurjenkellontie",fi,"Kurjenkellontie"
"Rantaniityntie",fi,"Rantaniityntie"
"Tammisto",fi,"Tammisto"
"Tikkurilan kirjasto",fi,"Tikkurilan kirjasto"
"Satamakaari",sv,"Hamnbågen"
"Merikapteenintie",sv,"Sjökaptensvägen"
"Latokasken koulu",sv,"Latokasken koulu"
"Vihermäentie",sv,"Grönkullavägen"
"Kontula(M)",fi,"Kontula(M)"
"Heurlinintie",fi,"Heurlinintie"
"Länsimetsä",fi,"Länsimetsä"
"Huolintatalo",sv,"Huolintatalo"
"Puroniityntie",sv,"Bäckängsvägen"
"Vitikka",sv,"Vitikka"
"Hiekkatie",fi,"Hiekkatie"
"Orisaarentie",sv,"Hästövägen"
"Smedjeberget",fi,"Smedjeberget"
"Emännäntie",sv,"Värdinnevägen"
"Kerava-Jokela",fi,"Kerava-Jokela"
"Ravurinpolku",fi,"Ravurinpolku"
"Torhemintie",fi,"Torhemintie"
"Herttoniemi(M)-Roihuvuori-Itäkeskus(M)",fi,"Herttoniemi(M)-Roihuvuori-Itäkeskus(M)"
"Kamppi-Hyrylä-Jäniksenlinna-Jokela",sv,"Kampen-Hyrylä-Jäniksenlinna-Jokela"
"Huopalahden asema",sv,"Hoplaks station"
"Mäkimatintie",fi,"Mäkimatintie"
"Kauniaistentie 5",fi,"Kauniaistentie 5"
"Joukahaisentie",sv,"Joukahaisentie"
"Huntupolku",fi,"Huntupolku"
"Kauklahti",fi,"Kauklahti"
"Varvikkokuja",fi,"Varvikkokuja"
"Saunalahdenkatu",sv,"Bastviksgatan"
"Herttoniemi (M) - Tammisalo - Roihuvuori - Itäkeskus(M)",fi,"Herttoniemi (M) - Tammisalo - Roihuvuori - Itäkeskus(M)"
"Torhemintie 11",sv,"Torhemsvägen 11"
"Porkkalantie 1543",sv,"Porkalavägen 1543"
"Hietalahdenranta 15",sv,"Sandvikskajen 15"
"Testipysäkintie 1",sv,"Samma på svenska"
"Savelantie",sv,"Lerstrandsvägen"
"Kontula (M) - Viikki - Koskela - Ruskeasuo - Munkkiniemi",sv,"Gårdsbacka (M) - Vik - Forsby - Brunakärr - Munksnäs"
"Töyrynummenpolku",fi,"Töyrynummenpolku"
"Eräkuja",fi,"Eräkuja"
"Jokimäki-Pihlajam.",fi,"Jokimäki-Pihlajam."
"Vihermäentie",fi,"Vihermäentie"
"Kaivolanmäki",fi,"Kaivolanmäki"
"Vasamatie",sv,"Skäktvägen"
"Tikkurilan lab.",sv,"Dickursby lab."
"Rajapolku",sv,"Råstigen"
"Mäkelänkatu 6",fi,"Mäkelänkatu 6"
"Helsinki-Tikkurila-Lentoasema-Helsinki",fi,"Helsinki-Tikkurila-Lentoasema-Helsinki"
"Ylismäentie",fi,"Ylismäentie"
"Myntinsyrjä",fi,"Myntinsyrjä"
"Lekkerikallio",fi,"Lekkerikallio"
"Purokuja",sv,"Bäckgränden"
"Sahaajankatu",fi,"Sahaajankatu"
"Kilterinkuja 4",fi,"Kilterinkuja 4"
"Laaksolahdentie",sv,"Dalsvikvägen"
"Haukilahdenranta",sv,"Gäddviksstranden"
"Kamppi-Kauklahti",fi,"Kamppi-Kauklahti"
"Latokasken koulu",fi,"Latokasken koulu"
"Savikiekontie",sv,"Lerduvevägen"
"Helsinki-Kirkkonummi",fi,"Helsinki-Kirkkonummi"
"Järvenp-Nuppu-Kellok",fi,"Järvenp-Nuppu-Kellok"
"Kartanontie",fi,"Kartanontie"
"Rtori6-Jakomäki",fi,"Rtori6-Jakomäki"
"Rajakulma",sv,"Rajakulma"
"Häggesböle",sv,"Häggesböle"
"Fredrikinkatu 21",fi,"Fredrikinkatu 21"
"Störsvikintie",fi,"Störsvikintie"
"Martinlaakso - Koskelo - Espoon keskus",sv,"Mårtensdal - Skrakaby - Esbo centrum"
"Kerkkätie",sv,"Årsskottsvägen"
"Herttoniemi(M), lait. 2",fi,"Herttoniemi(M), lait. 2"
