stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type
2712259,E7034,"Bodominkartano","Bodomintie",60.262310,24.691510,02,http://aikataulut.hsl.fi/pysakit/fi/2712259.html,0, ,0,,3
2712260,E7035,"Bodom Smeds","Bodomintie",60.268680,24.689540,02,http://aikataulut.hsl.fi/pysakit/fi/2712260.html,0, ,0,,3
2712261,E7036,"Bodom Smeds","Bodomintie",60.267830,24.690170,02,http://aikataulut.hsl.fi/pysakit/fi/2712261.html,0, ,0,,3
2712262,E7037,"Vihermäentie","Bodomintie",60.271100,24.689540,02,http://aikataulut.hsl.fi/pysakit/fi/2712262.html,0, ,0,,3
2712263,E7038,"Vihermäentie","Bodomintie",60.271160,24.689590,02,http://aikataulut.hsl.fi/pysakit/fi/2712263.html,0, ,0,,3
2712264,E7039,"Spångfall","Bodomintie",60.274720,24.680690,02,http://aikataulut.hsl.fi/pysakit/fi/2712264.html,0, ,0,,3
2712265,E7040,"Spångfall","Bodomintie",60.274800,24.680590,02,http://aikataulut.hsl.fi/pysakit/fi/2712265.html,0, ,0,,3
2713201,E7101,"Haapaniemenristi","Vanhankartanontie",60.252370,24.721990,02,http://aikataulut.hsl.fi/pysakit/fi/2713201.html,0, ,0,,3
2713202,E7102,"Haapaniemenristi","Vanhankartanontie",60.251850,24.720600,02,http://aikataulut.hsl.fi/pysakit/fi/2713202.html,0, ,0,,3
2713203,E7103,"Rajaportti","Vanhankartanontie",60.253250,24.725460,02,http://aikataulut.hsl.fi/pysakit/fi/2713203.html,0, ,0,,3
2713204,E7104,"Rajaportti","Vanhankartanontie",60.253270,24.724610,02,http://aikataulut.hsl.fi/pysakit/fi/2713204.html,0, ,0,,3
2713205,E7105,"Ruispelto","Vanhankartanontie",60.253290,24.733250,02,http://aikataulut.hsl.fi/pysakit/fi/2713205.html,0, ,0,,3
2713206,E7106,"Ruispelto","Vanhankartanontie",60.253330,24.733230,02,http://aikataulut.hsl.fi/pysakit/fi/2713206.html,0, ,0,,3
2713207,E7107,"Nepperi","Vanhankartanontie",60.254730,24.736740,02,http://aikataulut.hsl.fi/pysakit/fi/2713207.html,0, ,0,,3
2713208,E7108,"Nepperi","Vanhankartanontie",60.254660,24.736450,02,http://aikataulut.hsl.fi/pysakit/fi/2713208.html,0, ,0,,3
2713216,E7109,"Nepperinportti","Koskelonsilta",60.258850,24.734590,02,http://aikataulut.hsl.fi/pysakit/fi/2713216.html,0, ,0,,3
2713217,E7110,"Nepperinportti","Koskelonsilta",60.259840,24.734730,02,http://aikataulut.hsl.fi/pysakit/fi/2713217.html,0, ,0,,3
2713218,E7111,"Koskelonsilta","Koskelonsilta",60.263900,24.730960,02,http://aikataulut.hsl.fi/pysakit/fi/2713218.html,0, ,0,,3
2713219,E7112,"Koskelonsilta","Koskelonsilta",60.262780,24.731920,02,http://aikataulut.hsl.fi/pysakit/fi/2713219.html,0, ,0,,3
2713220,E7113,"Ohrakuja","Vanhankartanontie",60.253590,24.735180,02,http://aikataulut.hsl.fi/pysakit/fi/2713220.html,0, ,0,,3
2714201,E7114,"Maarinpuro","Röyläntie",60.274830,24.714750,02,http://aikataulut.hsl.fi/pysakit/fi/2714201.html,0, ,0,,3
2714202,E7115,"Punametsän talli","Punametsä",60.288340,24.714900,02,http://aikataulut.hsl.fi/pysakit/fi/2714202.html,0, ,0,,3
2714203,E7116,"Punametsän talli","Punametsä",60.287960,24.714840,02,http://aikataulut.hsl.fi/pysakit/fi/2714203.html,0, ,0,,3
2714204,E7117,"Punametsäntie","Punametsä",60.286520,24.710820,02,http://aikataulut.hsl.fi/pysakit/fi/2714204.html,0, ,0,,3
2714205,E7118,"Punametsäntie","Punametsä",60.286610,24.711500,02,http://aikataulut.hsl.fi/pysakit/fi/2714205.html,0, ,0,,3
2714206,E7172,"Niipperinvarsi","Niipperintie",60.289190,24.744440,02,http://aikataulut.hsl.fi/pysakit/fi/2714206.html,0, ,0,,3
2714207,E7173,"Niipperinvarsi","Niipperintie",60.289580,24.744150,02,http://aikataulut.hsl.fi/pysakit/fi/2714207.html,0, ,0,,3
